year,gennme,state,quarter,totalRXImputed
2017,Dextroamphetamine Sulfate,TN,2,701
2017,Lisdexamfetamine Dimesylate,TN,2,30264
2017,Methamphetamine Hydrochloride,TN,2,0
2017,Amphetamine,TN,3,274
2017,Amphetamine Salt Combination,TN,3,26657
2017,Dextroamphetamine Sulfate,TN,3,648
2017,Lisdexamfetamine Dimesylate,TN,3,28586
2017,Methamphetamine Hydrochloride,TN,3,0
2017,Amphetamine,TN,4,351
2017,Amphetamine Salt Combination,TN,4,29224
2017,Dextroamphetamine Sulfate,TN,4,732
2017,Lisdexamfetamine Dimesylate,TN,4,31260
2017,Methamphetamine Hydrochloride,TN,4,0
2018,Amphetamine,CO,1,0
2018,Amphetamine Salt Combination,CO,1,18185
2018,Dextroamphetamine Sulfate,CO,1,194
2018,Lisdexamfetamine Dimesylate,CO,1,9160
2018,Methamphetamine Hydrochloride,CO,1,0
2018,Amphetamine,CO,2,0
2018,Amphetamine Salt Combination,CO,2,19092
2018,Dextroamphetamine Sulfate,CO,2,186
2018,Lisdexamfetamine Dimesylate,CO,2,9499
2018,Methamphetamine Hydrochloride,CO,2,16
2018,Amphetamine,CO,3,0
2018,Amphetamine Salt Combination,CO,3,18029
2018,Dextroamphetamine Sulfate,CO,3,172
2018,Lisdexamfetamine Dimesylate,CO,3,8666
2018,Methamphetamine Hydrochloride,CO,3,0
2018,Amphetamine,CO,4,0
2018,Amphetamine Salt Combination,CO,4,18849
2018,Dextroamphetamine Sulfate,CO,4,152
2018,Lisdexamfetamine Dimesylate,CO,4,9417
2018,Methamphetamine Hydrochloride,CO,4,0
2018,Amphetamine,FL,1,56
2018,Amphetamine Salt Combination,FL,1,64170
2018,Dextroamphetamine Sulfate,FL,1,534
2018,Lisdexamfetamine Dimesylate,FL,1,63091
2018,Methamphetamine Hydrochloride,FL,1,0
2018,Amphetamine,FL,2,75
2018,Amphetamine Salt Combination,FL,2,63546
2018,Dextroamphetamine Sulfate,FL,2,491
2018,Lisdexamfetamine Dimesylate,FL,2,57448
2018,Methamphetamine Hydrochloride,FL,2,0
2018,Amphetamine,FL,3,1462
2018,Amphetamine Salt Combination,FL,3,60242
2018,Dextroamphetamine Sulfate,FL,3,437
2018,Lisdexamfetamine Dimesylate,FL,3,55750
2018,Amphetamine,FL,4,3517
2018,Amphetamine Salt Combination,FL,4,65289
2018,Dextroamphetamine Sulfate,FL,4,479
2018,Lisdexamfetamine Dimesylate,FL,4,61807
2018,Amphetamine,MS,1,1238
2018,Amphetamine Salt Combination,MS,1,13260
2018,Dextroamphetamine Sulfate,MS,1,1324
2018,Lisdexamfetamine Dimesylate,MS,1,25448
2018,Amphetamine,MS,2,913
2018,Amphetamine Salt Combination,MS,2,11917
2018,Dextroamphetamine Sulfate,MS,2,1153
2018,Lisdexamfetamine Dimesylate,MS,2,22339
2018,Amphetamine,MS,3,817
2018,Amphetamine Salt Combination,MS,3,12069
2018,Dextroamphetamine Sulfate,MS,3,1074
2018,Lisdexamfetamine Dimesylate,MS,3,22442
2018,Amphetamine,MS,4,759
2018,Amphetamine Salt Combination,MS,4,12942
2018,Dextroamphetamine Sulfate,MS,4,1288
2018,Lisdexamfetamine Dimesylate,MS,4,23352
2018,Amphetamine,SC,1,61
2018,Amphetamine Salt Combination,SC,1,31147
2018,Dextroamphetamine Sulfate,SC,1,416
2018,Lisdexamfetamine Dimesylate,SC,1,22570
2018,Methamphetamine Hydrochloride,SC,1,0
2018,Amphetamine,SC,2,26
2018,Amphetamine Salt Combination,SC,2,29730
2018,Dextroamphetamine Sulfate,SC,2,351
2018,Lisdexamfetamine Dimesylate,SC,2,21815
2018,Amphetamine,SC,3,54
2018,Amphetamine Salt Combination,SC,3,30095
2018,Dextroamphetamine Sulfate,SC,3,340
2018,Lisdexamfetamine Dimesylate,SC,3,20149
2018,Amphetamine,SC,4,18
2018,Amphetamine Salt Combination,SC,4,34285
2018,Dextroamphetamine Sulfate,SC,4,326
2018,Lisdexamfetamine Dimesylate,SC,4,22716
2018,Methamphetamine Hydrochloride,SC,4,0
2018,Amphetamine,TN,1,344
2018,Amphetamine Salt Combination,TN,1,28069
2018,Dextroamphetamine Sulfate,TN,1,812
2018,Lisdexamfetamine Dimesylate,TN,1,30290
2018,Methamphetamine Hydrochloride,TN,1,0
2018,Amphetamine,TN,2,339
2018,Amphetamine Salt Combination,TN,2,26892
2018,Dextroamphetamine Sulfate,TN,2,790
2018,Lisdexamfetamine Dimesylate,TN,2,29146
2018,Methamphetamine Hydrochloride,TN,2,0
2018,Amphetamine,TN,3,331
2018,Amphetamine Salt Combination,TN,3,25818
2018,Dextroamphetamine Sulfate,TN,3,713
2018,Lisdexamfetamine Dimesylate,TN,3,26932
2018,Amphetamine,TN,4,362
2018,Amphetamine Salt Combination,TN,4,28169
2018,Dextroamphetamine Sulfate,TN,4,858
2018,Lisdexamfetamine Dimesylate,TN,4,29665
2019,Amphetamine,CO,1,0
2019,Amphetamine Salt Combination,CO,1,17207
2019,Dextroamphetamine Sulfate,CO,1,119
2019,Lisdexamfetamine Dimesylate,CO,1,8339
2019,Methamphetamine Hydrochloride,CO,1,0
2019,Amphetamine,CO,2,0
2019,Amphetamine Salt Combination,CO,2,18957
2019,Dextroamphetamine Sulfate,CO,2,127
2019,Lisdexamfetamine Dimesylate,CO,2,8921
2019,Methamphetamine Hydrochloride,CO,2,0
2019,Amphetamine,CO,3,0
2019,Amphetamine Salt Combination,CO,3,20182
2019,Dextroamphetamine Sulfate,CO,3,155
2019,Lisdexamfetamine Dimesylate,CO,3,9201
2019,Methamphetamine Hydrochloride,CO,3,0
2019,Amphetamine,CO,4,0
2019,Amphetamine Salt Combination,CO,4,18775
2019,Dextroamphetamine Sulfate,CO,4,127
2019,Lisdexamfetamine Dimesylate,CO,4,8882
2019,Methamphetamine Hydrochloride,CO,4,0
2019,Amphetamine,FL,1,2952
2019,Amphetamine Salt Combination,FL,1,65810
2019,Dextroamphetamine Sulfate,FL,1,516
