year,gennme,state,quarter,suppression,totalRX
2017,Dextroamphetamine Sulfate,FL,2,T,0
2017,Lisdexamfetamine Dimesylate,FL,2,F,71150
2017,Lisdexamfetamine Dimesylate,FL,2,T,0
2017,Methamphetamine Hydrochloride,FL,2,T,0
2017,Amphetamine,FL,3,F,20
2017,Amphetamine,FL,3,T,0
2017,Amphetamine Salt Combination,FL,3,F,55463
2017,Amphetamine Salt Combination,FL,3,T,0
2017,Dextroamphetamine Sulfate,FL,3,F,576
2017,Dextroamphetamine Sulfate,FL,3,T,0
2017,Lisdexamfetamine Dimesylate,FL,3,F,55420
2017,Lisdexamfetamine Dimesylate,FL,3,T,0
2017,Methamphetamine Hydrochloride,FL,3,T,0
2017,Amphetamine,FL,4,F,55
2017,Amphetamine,FL,4,T,0
2017,Amphetamine Salt Combination,FL,4,F,62494
2017,Amphetamine Salt Combination,FL,4,T,0
2017,Dextroamphetamine Sulfate,FL,4,F,616
2017,Dextroamphetamine Sulfate,FL,4,T,0
2017,Lisdexamfetamine Dimesylate,FL,4,F,60803
2017,Lisdexamfetamine Dimesylate,FL,4,T,0
2017,Methamphetamine Hydrochloride,FL,4,T,0
2017,Amphetamine,MS,1,F,659
2017,Amphetamine,MS,1,T,0
2017,Amphetamine Salt Combination,MS,1,F,10544
2017,Amphetamine Salt Combination,MS,1,T,0
2017,Dextroamphetamine Sulfate,MS,1,F,1111
2017,Dextroamphetamine Sulfate,MS,1,T,0
2017,Lisdexamfetamine Dimesylate,MS,1,F,26901
2017,Amphetamine,MS,2,F,1063
2017,Amphetamine,MS,2,T,0
2017,Amphetamine Salt Combination,MS,2,F,10759
2017,Amphetamine Salt Combination,MS,2,T,0
2017,Dextroamphetamine Sulfate,MS,2,F,898
2017,Dextroamphetamine Sulfate,MS,2,T,0
2017,Lisdexamfetamine Dimesylate,MS,2,F,23049
2017,Lisdexamfetamine Dimesylate,MS,2,T,0
2017,Amphetamine,MS,3,F,1345
2017,Amphetamine,MS,3,T,0
2017,Amphetamine Salt Combination,MS,3,F,11195
2017,Amphetamine Salt Combination,MS,3,T,0
2017,Dextroamphetamine Sulfate,MS,3,F,892
2017,Dextroamphetamine Sulfate,MS,3,T,0
2017,Lisdexamfetamine Dimesylate,MS,3,F,22497
2017,Lisdexamfetamine Dimesylate,MS,3,T,0
2017,Amphetamine,MS,4,F,1791
2017,Amphetamine Salt Combination,MS,4,F,12515
2017,Amphetamine Salt Combination,MS,4,T,0
2017,Dextroamphetamine Sulfate,MS,4,F,1153
2017,Dextroamphetamine Sulfate,MS,4,T,0
2017,Lisdexamfetamine Dimesylate,MS,4,F,23935
2017,Lisdexamfetamine Dimesylate,MS,4,T,0
2017,Amphetamine,SC,1,T,0
2017,Amphetamine Salt Combination,SC,1,F,23247
2017,Amphetamine Salt Combination,SC,1,T,0
2017,Dextroamphetamine Sulfate,SC,1,F,469
2017,Dextroamphetamine Sulfate,SC,1,T,0
2017,Lisdexamfetamine Dimesylate,SC,1,F,23181
2017,Amphetamine,SC,2,F,29
2017,Amphetamine,SC,2,T,0
2017,Amphetamine Salt Combination,SC,2,F,25127
2017,Amphetamine Salt Combination,SC,2,T,0
2017,Dextroamphetamine Sulfate,SC,2,F,450
2017,Dextroamphetamine Sulfate,SC,2,T,0
2017,Lisdexamfetamine Dimesylate,SC,2,F,20980
2017,Lisdexamfetamine Dimesylate,SC,2,T,0
2017,Amphetamine,SC,3,F,28
2017,Amphetamine,SC,3,T,0
2017,Amphetamine Salt Combination,SC,3,F,28676
2017,Amphetamine Salt Combination,SC,3,T,0
2017,Dextroamphetamine Sulfate,SC,3,F,396
2017,Dextroamphetamine Sulfate,SC,3,T,0
2017,Lisdexamfetamine Dimesylate,SC,3,F,20431
2017,Lisdexamfetamine Dimesylate,SC,3,T,0
2017,Amphetamine,SC,4,F,35
2017,Amphetamine,SC,4,T,0
2017,Amphetamine Salt Combination,SC,4,F,33495
2017,Amphetamine Salt Combination,SC,4,T,0
2017,Dextroamphetamine Sulfate,SC,4,F,450
2017,Dextroamphetamine Sulfate,SC,4,T,0
2017,Lisdexamfetamine Dimesylate,SC,4,F,22631
2017,Lisdexamfetamine Dimesylate,SC,4,T,0
2017,Methamphetamine Hydrochloride,SC,4,T,0
2017,Amphetamine,TN,1,F,145
2017,Amphetamine,TN,1,T,0
2017,Amphetamine Salt Combination,TN,1,F,28014
2017,Amphetamine Salt Combination,TN,1,T,0
2017,Dextroamphetamine Sulfate,TN,1,F,743
2017,Dextroamphetamine Sulfate,TN,1,T,0
2017,Lisdexamfetamine Dimesylate,TN,1,F,32907
2017,Methamphetamine Hydrochloride,TN,1,T,0
2017,Amphetamine,TN,2,F,177
2017,Amphetamine,TN,2,T,0
2017,Amphetamine Salt Combination,TN,2,F,26945
2017,Amphetamine Salt Combination,TN,2,T,0
2017,Dextroamphetamine Sulfate,TN,2,F,701
2017,Dextroamphetamine Sulfate,TN,2,T,0
2017,Lisdexamfetamine Dimesylate,TN,2,F,30264
2017,Lisdexamfetamine Dimesylate,TN,2,T,0
2017,Methamphetamine Hydrochloride,TN,2,T,0
2017,Amphetamine,TN,3,F,274
2017,Amphetamine,TN,3,T,0
2017,Amphetamine Salt Combination,TN,3,F,26657
2017,Amphetamine Salt Combination,TN,3,T,0
2017,Dextroamphetamine Sulfate,TN,3,F,648
2017,Dextroamphetamine Sulfate,TN,3,T,0
2017,Lisdexamfetamine Dimesylate,TN,3,F,28586
